position,team,played,wins,draws,losses,goals_scored,goals_conceded,goal_diff,points,xg_for,xg_against,xg_diff
1,Liverpool,5,4,1,0,12,3,9,13,10.87,3.21,7.66
2,Arsenal,5,4,0,1,9,4,5,12,9.43,4.12,5.31
3,Manchester City,5,4,0,1,11,5,6,12,11.23,4.87,6.36
4,Aston Villa,5,3,1,1,8,5,3,10,7.98,5.43,2.55
5,Chelsea,5,3,0,2,8,6,2,9,8.12,6.34,1.78
6,Newcastle United,5,3,0,2,9,7,2,9,8.67,6.89,1.78
7,Brighton,5,2,2,1,7,5,2,8,7.23,5.12,2.11
8,Tottenham,5,2,1,2,6,7,-1,7,6.78,7.43,-0.65
9,Manchester United,5,2,1,2,5,6,-1,7,5.43,6.12,-0.69
10,Brentford,5,2,1,2,6,7,-1,7,6.12,7.23,-1.11
11,Fulham,5,2,1,2,5,6,-1,7,5.67,5.89,-0.22
12,Bournemouth,5,2,1,2,5,6,-1,7,5.23,5.76,-0.53
13,West Ham United,5,2,0,3,5,8,-3,6,5.87,7.45,-1.58
14,Wolverhampton Wanderers,5,1,2,2,4,6,-2,5,4.56,6.34,-1.78
15,Nottingham Forest,5,1,2,2,4,6,-2,5,4.87,5.98,-1.11
16,Crystal Palace,5,1,1,3,4,8,-4,4,4.23,7.12,-2.89
17,Everton,5,1,0,4,3,9,-6,3,3.45,8.67,-5.22
18,Leicester City,5,0,2,3,4,9,-5,2,4.12,8.34,-4.22
19,Southampton,5,0,1,4,3,11,-8,1,3.23,9.87,-6.64
20,Ipswich Town,5,0,1,4,2,12,-10,1,2.87,10.23,-7.36
